timestamp,usd_hashprice,btc_hashprice,btc
2/5/25,57.6,0.00058906,97782.90836
2/6/25,57.34,0.00058811,97498.76724
2/7/25,57.22,0.00058793,97324.51142
2/8/25,56.52,0.00058681,96317.377
2/9/25,54.82,0.00056773,96559.9845
2/10/25,54,0.00055544,97220.22181
2/11/25,54.15,0.00055724,97175.3643
2/12/25,53.66,0.00055743,96263.20794
2/13/25,53.67,0.0005566,96424.72152
2/14/25,54.06,0.00055675,97099.23664
2/15/25,54.22,0.00055554,97598.73276
2/16/25,53.92,0.00055478,97191.67958
2/17/25,53.49,0.00055661,96099.60295
2/18/25,53.51,0.00055838,95830.79623