ID,NH,year,SAT,hs_distance
1,Yes,Junior,1190,39
2,Yes,Sophomore,1450,18
3,No,Sophomore,1150,139
4,Yes,Sophomore,1210,44
5,No,Sophomore,1000,90
6,No,Sophomore,1160,127
7,No,Sophomore,1300,3059
8,No,Sophomore,1180,159
9,No,Sophomore,1360,115
10,No,Sophomore,1200,182
11,No,Sophomore,1200,60
12,No,Sophomore,1200,65
13,Yes,Junior,1340,47.6
14,Yes,Sophomore,1220,41
15,No,Sophomore,960,17
16,Yes,Sophomore,1100,20
17,No,Sophomore,1300,50
18,Yes,Sophomore,980,34
19,Yes,Sophomore,1150,53
20,Yes,Junior,1250,42
21,No,Sophomore,1190,277
22,No,Sophomore,1200,68
23,Yes,Sophomore,1250,28
24,No,Sophomore,1100,75
25,Yes,Sophomore,1200,98.8
26,Yes,Junior,1260,50
27,No,Sophomore,1190,126
28,No,Junior,1280,70
29,Yes,Sophomore,1028,30
30,Yes,Sophomore,1380,4.4
31,No,Sophomore,1100,42
32,No,Sophomore,1150,77.7
33,Yes,Sophomore,1100,94
34,Yes,Sophomore,1250,12
35,No,Sophomore,1200,62
36,Yes,Sophomore,1240,41
37,Yes,Sophomore,1260,55
38,No,Sophomore,1300,240
39,No,Sophomore,1160,121
40,Yes,Sophomore,1040,4.1
41,Yes,Junior,850,42
42,No,Junior,1200,55
43,No,Junior,1270,77
44,Yes,Sophomore,1220,13
45,Yes,Sophomore,1040,40
46,Yes,Sophomore,1180,40
47,No,Sophomore,,268
48,No,Sophomore,1250,251
49,Yes,Sophomore,1220,25
50,No,Junior,1250,120
51,Yes,Junior,1000,50
52,No,Sophomore,1350,60
53,No,Sophomore,990,15
54,Yes,Sophomore,1480,2